No,Date,Price,Open,High,Low,Vol.,Change %
1256,9/1/2022,"11,785.13","11,707.44","11,798.37","11,546.52",974.17M,-0.26%
1257,9/2/2022,"11,630.86","11,899.14","11,945.91","11,573.51",868.07M,-1.31%
1258,9/6/2022,"11,544.91","11,643.03","11,679.43","11,471.50",945.53M,-0.74%
1259,9/7/2022,"11,791.90","11,559.38","11,819.07","11,555.08",897.12M,2.14%
1260,9/8/2022,"11,862.13","11,679.86","11,896.73","11,660.53",875.83M,0.60%
1261,9/9/2022,"12,112.31","11,958.61","12,132.67","11,958.61",881.47M,2.11%
1262,9/12/2022,"12,266.41","12,174.94","12,270.19","12,169.28",845.28M,1.27%
1263,9/13/2022,"11,633.57","11,908.81","11,957.97","11,604.43",1.10B,-5.16%
1264,9/14/2022,"11,719.68","11,680.41","11,746.83","11,602.76",1.05B,0.74%
1265,9/15/2022,"11,552.36","11,633.24","11,760.73","11,497.11",1.03B,-1.43%
1266,9/16/2022,"11,448.40","11,401.21","11,460.43","11,316.92",3.05B,-0.90%
1267,9/19/2022,"11,535.02","11,338.57","11,538.13","11,337.83",932.68M,0.76%
1268,9/20/2022,"11,425.05","11,440.14","11,520.99","11,343.72",861.66M,-0.95%
1269,9/21/2022,"11,220.19","11,466.21","11,613.57","11,219.00",909.35M,-1.79%
1270,9/22/2022,"11,066.80","11,167.38","11,203.77","11,024.64",934.35M,-1.37%
1271,9/23/2022,"10,867.93","10,952.69","10,958.29","10,732.72",1.00B,-1.80%
1272,9/26/2022,"10,802.92","10,833.38","11,024.00","10,789.05",949.63M,-0.60%
1273,9/27/2022,"10,829.50","10,955.29","11,040.99","10,741.02",903.37M,0.25%
1274,9/28/2022,"11,051.64","10,817.53","11,101.50","10,776.34",953.34M,2.05%
1275,9/29/2022,"10,737.51","10,894.44","10,899.47","10,623.22",971.92M,-2.84%
1276,9/30/2022,"10,575.62","10,697.71","10,883.04","10,572.33",1.10B,-1.51%
1277,10/3/2022,"10,815.43","10,659.01","10,875.46","10,577.89",943.34M,2.27%
1278,10/4/2022,"11,176.41","11,054.72","11,189.96","11,044.04",1.02B,3.34%
1279,10/5/2022,"11,148.64","11,022.67","11,210.32","10,910.76",830.23M,-0.25%
1280,10/6/2022,"11,073.31","11,129.04","11,230.44","11,051.27",873.35M,-0.68%
